ticker,market
WDC,NASDAQ
NVR,NYSE
GEV,NYSE
SNDK,NASDAQ
MU,NASDAQ
FIX,NYSE
ASML,NASDAQ
AMAT,NASDAQ
AZO,NYSE
VMI,NYSE
LLY,NYSE
STX,NASDAQ
AYI,NYSE
CAT,NYSE
TLN,NASDAQ
MEDP,NASDAQ
IESC,NASDAQ
TER,NASDAQ
MTD,NYSE
ARGX,NASDAQ
ALAB,NASDAQ
AGX,NYSE
CRWD,NASDAQ
CSL,NYSE
SIMO,NASDAQ
MRVL,NASDAQ
NTRA,NASDAQ
AXON,NASDAQ
ARM,NASDAQ
BAP,NYSE
DAVE,NASDAQ
HUBB,NYSE
VICR,NASDAQ
MKSI,NASDAQ
CIEN,NYSE
LRCX,NASDAQ
SNOW,NYSE
QURE,NASDAQ
MSFT,NASDAQ
HD,NYSE
CBRS,NASDAQ
ASND,NASDAQ
EXPE,NASDAQ
BE,NYSE
GLW,NYSE
KRYS,NASDAQ
WDFC,NASDAQ
ONTO,NYSE
APP,NASDAQ
AVGO,NASDAQ
DDOG,NASDAQ
MCO,NYSE
ICLR,NASDAQ
BIO,NYSE
NBIS,NASDAQ
SXI,NYSE
IQV,NYSE
KLAC,NASDAQ
AAOI,NASDAQ
MANE,NYSE
WWD,NASDAQ
MTZ,NYSE
LGND,NASDAQ
PRAX,NASDAQ
MOH,NYSE
BKNG,NASDAQ
JPM,NYSE
HUBS,NYSE
RGEN,NASDAQ
RDDT,NYSE
PANW,NASDAQ
IBM,NYSE
BIIB,NASDAQ
RCL,NYSE
INOD,NASDAQ
BLTE,NASDAQ
MHK,NYSE
DASH,NASDAQ
KYMR,NASDAQ
MHO,NYSE
DKS,NYSE
VEEV,NYSE
ILMN,NASDAQ
ERIE,NASDAQ
MORN,NASDAQ
CRWV,NASDAQ
MOD,NYSE
DPC,NYSE
OC,NYSE
KNSL,NYSE
AEIS,NASDAQ
PVLA,NASDAQ
ALL,NYSE
ENSG,NASDAQ
GWRE,NYSE
AXTI,NASDAQ
HOOD,NASDAQ
HSY,NYSE
KLIC,NASDAQ
LEU,NYSE
TECH,NASDAQ
PHM,NYSE
PGR,NYSE
UAL,NASDAQ
AMKR,NASDAQ
WDAY,NASDAQ
SEZL,NASDAQ
FLEX,NASDAQ
ASR,NYSE
KBH,NYSE
UCTT,NASDAQ
BLDR,NYSE
MANH,NASDAQ
ACMR,NASDAQ
BELFA,NASDAQ
MRNA,NASDAQ
VSAT,NASDAQ
CHTR,
ASTS,NASDAQ
W,NYSE
ENTG,NASDAQ
NXST,NASDAQ
FNV,NYSE
QCOM,NASDAQ
HEI-A,NYSE
CDW,NASDAQ
RKLB,NASDAQ
PRIM,NYSE
RVMD,NASDAQ
HLNE,NASDAQ
RYTM,NASDAQ
JBTM,NYSE
CEG,NASDAQ
AGM,NYSE
NTES,NASDAQ
ACLS,NASDAQ
FORM,NASDAQ
CRL,NYSE
WMS,NYSE
WCN,NYSE
TWST,NASDAQ
FROG,NASDAQ
IRDM,NASDAQ
OUST,NASDAQ
HRI,NYSE
PTCT,NASDAQ
PLMR,NASDAQ
VST,NYSE
MTH,NYSE
SII,NYSE
IRTC,NASDAQ
SEI,NYSE
RVTY,NYSE
NOVT,NASDAQ
SHOP,NASDAQ
MSTR,NASDAQ
ENLT,NASDAQ
MXL,NASDAQ
EMR,NYSE
DUOL,NASDAQ
PODD,NASDAQ
ATRO,NASDAQ
AEM,NYSE
ARWR,NASDAQ
DFTX,NASDAQ
AGYS,NASDAQ
WPM,NYSE
SYRE,NASDAQ
MIRM,NASDAQ
ALGM,NASDAQ
WOLF,NYSE
GRBK,NYSE
ELF,NYSE
INCY,NASDAQ
OMAB,NASDAQ
RBLX,NYSE
FOUR,NYSE
ALGT,NASDAQ
KFY,NYSE
RHP,NYSE
LPX,NYSE
BIDU,NASDAQ
ROAD,NASDAQ
COHU,NASDAQ
TTAN,NASDAQ
RBRK,NYSE
GDDY,NYSE
CALM,NASDAQ
FCEL,NASDAQ
MMYT,NASDAQ
CWST,NASDAQ
HNGE,NYSE
VECO,NASDAQ
CYTK,NASDAQ
MAAS,NASDAQ
LMAT,NASDAQ
XMTR,NASDAQ
AFRM,NASDAQ
ESAB,NYSE
GIL,NYSE
FBIN,NYSE
HQY,NASDAQ
GEHC,NASDAQ
PBF,NYSE
IRON,NASDAQ
EW,NYSE
AUGO,NASDAQ
SHAK,NYSE
CHDN,NASDAQ
CXT,NYSE
XYZ,NYSE
TEM,NASDAQ
TEX,NYSE
KNSA,NASDAQ
CARG,NASDAQ
ELVN,NASDAQ
TARS,NASDAQ
VCYT,NASDAQ
QTWO,NYSE
NRIX,NASDAQ
SKWD,NASDAQ
VSH,NYSE
RARE,NASDAQ
SSRM,NASDAQ
VKTX,NASDAQ
PKX,NYSE
EMBJ,NYSE
LBRDA,NASDAQ
MWH,NASDAQ
NAVN,NASDAQ
LBRDK,NASDAQ
VRNS,NASDAQ
VCEL,NASDAQ
ROKU,NASDAQ
BALL,NYSE
OPLN,NYSE
ACIW,NASDAQ
TXG,NASDAQ
LUV,NYSE
AIP,NASDAQ
DNLI,NASDAQ
SRRK,NASDAQ
EGO,NYSE
LION,NYSE
BHVN,NYSE
GFI,NYSE
QBTS,NYSE
XENE,NASDAQ
CHRN,NASDAQ
STEP,NASDAQ
MDA,NYSE
NESR,NASDAQ
FISV,NASDAQ
GEF-B,NYSE
SLS,NASDAQ
INFQ,NYSE
AGI,NYSE
LAZ,NYSE
WLY,NYSE
ASTH,NASDAQ
PTRN,NASDAQ
MUR,NYSE
XE,NASDAQ
XNDU,NASDAQ
BB,NYSE
HIMS,NYSE
DYN,NASDAQ
BWIN,NASDAQ
PAY,NYSE
BBWI,NYSE
AYA,NASDAQ
ADPT,NASDAQ
CHYM,NASDAQ
SKE,NYSE
CAAP,NYSE
HYMC,NASDAQ
TRVI,NASDAQ
RUN,NASDAQ
WAY,NASDAQ
APLD,NASDAQ
ACAD,NASDAQ
ZETA,NYSE
HL,NYSE
EOSE,NASDAQ
SATS,NASDAQ
FRMI,NASDAQ
PAYP,NASDAQ
OCUL,NASDAQ
GRND,NYSE
BOBS,NYSE
KD,NYSE
IX,NYSE
RGC,NASDAQ
PLBL,NASDAQ
AAL,NASDAQ
EMAT,NASDAQ
KEEL,NASDAQ
MBLY,NASDAQ
SAIL,NASDAQ
SVM,AMEX
